"","month","iso_code","date","location","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","total_vaccinations","total_boosters","total_vaccinations_per_hundred","total_boosters_per_hundred","population","population_density","continent","cs","L1vax","vax","lndeaths","deaths","lnvax","period"
"82","2021-10","COL",2021-10-31,"Colombia",5002387,127281,97577.391,2482.764,26752248,521.834,47404063,0,92.47,0,51265841,44.223,"South America",1117097,NA,92.47,7.81753043048829,2482.764,4.53764052919449,2
"83","2021-02","COM",2021-02-28,"Comoros",3571,144,4019.332,162.079,0,0,0,0,0,0,888456,437.352,"Africa",NA,0,0,5.09423474597248,162.079,0,1
"84","2021-05","COM",2021-05-31,"Comoros",3881,146,4368.252,164.33,0,0,83907,0,9.44,0,888456,437.352,"Africa",NA,0,9.44,5.10794347656325,164.33,2.34564458245449,2
"85","2021-02","CPV",2021-02-28,"Cape Verde",15400,147,27406.963,261.612,0,0,0,0,0,0,561901,135.58,"Africa",738,0,0,5.57067765770201,261.612,0,1
"86","2021-10","CPV",2021-10-31,"Cape Verde",38215,349,68010.201,621.106,0,0,511628,0,91.05,0,561901,135.58,"Africa",2972,74.79,91.05,6.43311049622611,621.106,4.52233190767909,2
"87","2021-02","CRI",2021-02-28,"Costa Rica",204341,2800,39762.384,544.847,579897,112.841,0,0,0,0,5139053,96.079,"North America",12224,0,0,6.30233871669579,544.847,0,1
"88","2021-11","CRI",2021-11-27,"Costa Rica",566560,7287,110245.993,1417.966,NA,NA,0,0,0,0,5139053,96.079,"North America",58358,0,0,7.2576837163374,1417.966,0,2
"89","2021-02","CUB",2021-02-28,"Cuba",49779,322,4398.41,28.452,2411287,213.058,0,0,0,0,11317498,110.408,"North America",1484,0,0,3.38276181950647,28.452,0,1
"90","2021-10","CUB",2021-10-31,"Cuba",952001,8236,84117.62,727.723,NA,NA,25800950,0,227.97,0,11317498,110.408,"North America",28527,188.14,227.97,6.59129368723563,727.723,5.43359099060561,2
"91","2021-11","CUW",2021-11-27,"Curacao",0,0,0,0,0,0,197869,0,120.07,0,164796,362.644,"North America",NA,NA,120.07,0,0,4.79636889071965,1
"92","2021-02","CYM",2021-02-28,"Cayman Islands",0,0,0,0,0,0,0,0,0,0,66498,256.496,"North America",NA,0,0,0,0,0,1
"93","2021-11","CYM",2021-11-19,"Cayman Islands",0,0,0,0,0,0,121080,0,182.08,0,66498,256.496,"North America",NA,NA,182.08,0,0,5.20992321578544,2
"94","2021-02","CYP",2021-02-28,"Cyprus",34935,232,38989.738,258.927,2300160,2567.129,0,0,0,0,896005,127.657,"Europe",743,0,0,5.5604008223617,258.927,0,1
"95","2021-06","CYP",2021-06-30,"Cyprus",76552,375,85437.023,418.524,8220767,9174.912,809234,0,90.32,0,896005,127.657,"Europe",2045,0,90.32,6.03912073523621,418.524,4.5143698216616,2
"96","2021-02","CZE",2021-02-28,"Czechia",1235480,20339,115201.072,1896.489,0,0,669575,0,6.24,0,10724553,137.176,"Europe",NA,2.62,6.24,7.54828671215153,1896.489,1.97962120639763,1
"97","2021-11","CZE",2021-11-27,"Czechia",2110274,32744,196770.346,3053.181,0,0,13358175,780366,124.56,7.28,10724553,137.176,"Europe",NA,114.41,124.56,8.02426675055808,3053.181,4.83278373197375,2
"98","2021-02","DEU",2021-02-28,"Germany",2450295,70152,29204.782,836.134,45135704,537.967,6332564,27,7.55,0,83900471,237.016,"Europe",NA,3.03,7.55,6.729984153255,836.134,2.14593128294867,1
"99","2021-10","DEU",2021-10-31,"Germany",4607958,95735,54921.718,1141.054,79116296,942.978,112005778,2082455,133.5,2.48,83900471,237.016,"Europe",NA,128.73,133.5,7.04058367456213,1141.054,4.90156419904189,2
"100","2021-02","DJI",2021-02-28,"Djibouti",6066,63,6052.702,62.862,0,0,0,0,0,0,1002197,41.285,"Africa",NA,0,0,4.15672450530546,62.862,0,1
"101","2021-11","DJI",2021-11-27,"Djibouti",13504,186,13474.397,185.592,0,0,0,0,0,0,1002197,41.285,"Africa",NA,0,0,5.22892441503975,185.592,0,2
"102","2021-02","DMA",2021-02-28,"Dominica",142,0,1967.522,0,0,0,0,0,0,0,72172,98.567,"North America",NA,0,0,0,0,0,1
"103","2021-05","DMA",2021-05-31,"Dominica",188,0,2604.888,0,0,0,37080,0,51.38,0,72172,98.567,"North America",NA,NA,51.38,0,0,3.95852483907957,2
"104","2021-02","DNK",2021-02-28,"Denmark",211883,2362,36447.96,406.31,16921420,2910.81,588460,12,10.12,0,5813302,136.52,"Europe",NA,0,10.12,6.0095745662803,406.31,2.40874528882244,1
"105","2021-10","DNK",2021-10-31,"Denmark",390727,2716,67212.576,467.204,42977411,7392.943,9158815,310276,157.55,5.34,5813302,136.52,"Europe",NA,152.32,157.55,6.14890409837786,467.204,5.06607000098436,2
"106","2021-02","DOM",2021-02-28,"Dominican Republic",239617,3100,21875.411,283.009,1210716,110.53,0,0,0,0,10953714,222.873,"North America",19332,0,0,5.64900592779993,283.009,0,1
"107","2021-10","DOM",2021-10-31,"Dominican Republic",381667,4130,34843.616,377.041,NA,NA,13277959,1223723,121.22,11.17,10953714,222.873,"North America",49734,108.82,121.22,5.93500265534608,377.041,4.80582269946677,2
"108","2021-02","DZA",2021-02-28,"Algeria",113092,2983,2534.75,66.858,0,0,0,0,0,0,44616626,17.348,"Africa",NA,0,0,4.2174172864785,66.858,0,1
"109","2021-11","DZA",2021-11-27,"Algeria",209980,6052,4706.317,135.645,0,0,0,0,0,0,44616626,17.348,"Africa",NA,0,0,4.91738632187663,135.645,0,2
"110","2021-02","ECU",2021-02-28,"Ecuador",286155,15811,15996.613,883.865,956265,53.457,76547,0,0.43,0,17888474,66.939,"South America",103308,0.04,0.43,6.78543509099928,883.865,0.357674444271816,1
"111","2021-10","ECU",2021-10-31,"Ecuador",515859,32958,28837.507,1842.415,1831975,102.411,22597171,58948,126.32,0.33,17888474,66.939,"South America",310513,116.82,126.32,7.51937510866435,1842.415,4.84670360241389,2
"112","2021-02","EGY",2021-02-28,"Egypt",182424,10688,1749.731,102.515,0,0,0,0,0,0,104258327,97.999,"Africa",NA,0,0,4.63971652974068,102.515,0,1
"113","2021-09","EGY",2021-09-30,"Egypt",304524,17331,2920.86,166.231,0,0,16959764,0,16.27,0,104258327,97.999,"Africa",NA,0,16.27,5.11937609016347,166.231,2.84897089215859,2
"114","2021-02","ERI",2021-02-28,"Eritrea",2847,7,790.512,1.944,0,0,0,0,0,0,3601462,44.304,"Africa",NA,0,0,1.07976920086663,1.944,0,1
"115","2021-11","ERI",2021-11-27,"Eritrea",7305,60,2028.343,16.66,0,0,0,0,0,0,3601462,44.304,"Africa",NA,0,0,2.87130219517581,16.66,0,2
"116","2021-02","ESP",2021-02-28,"Spain",3188553,69142,68211.33,1479.125,NA,NA,3829465,0,8.19,0,46745211,93.105,"Europe",NA,3.44,8.19,7.29988182265112,1479.125,2.2181159363676,1
"117","2021-09","ESP",2021-09-30,"Spain",4959091,86415,106087.68,1848.639,59398003,1270.676,70153507,0,150.08,0,46745211,93.105,"Europe",NA,141.47,150.08,7.5227457638959,1848.639,5.01780949784426,2
"118","2021-02","EST",2021-02-28,"Estonia",65600,589,49502.41,444.465,943228,711.769,112687,0,8.5,0,1325188,31.033,"Europe",NA,2.91,8.5,6.0991186804127,444.465,2.2512917986065,1
"119","2021-11","EST",2021-11-27,"Estonia",221160,1789,166889.528,1349.997,NA,NA,1477600,0,111.5,0,1325188,31.033,"Europe",NA,108.15,111.5,7.20859811738038,1349.997,4.72295322164447,2
"120","2021-02","ETH",2021-02-28,"Ethiopia",159072,2365,1349.483,20.063,2134587,18.109,0,0,0,0,117876226,104.957,"Africa",NA,0,0,3.04751794670322,20.063,0,1
"121","2021-10","ETH",2021-10-31,"Ethiopia",365167,6459,3097.885,54.795,NA,NA,4774947,0,4.05,0,117876226,104.957,"Africa",NA,3.14,4.05,4.02168425963766,54.795,1.61938824328727,2
"122","2021-02","FIN",2021-02-28,"Finland",57672,742,10394.421,133.733,3372721,607.877,451999,0,8.15,0,5548361,18.136,"Europe",NA,NA,8.15,4.90329504227559,133.733,2.21375387928743,1
"123","2021-11","FIN",2021-11-27,"Finland",182284,1309,32853.666,235.926,NA,NA,8313949,0,149.85,0,5548361,18.136,"Europe",NA,146.26,149.85,5.46774785609231,235.926,5.01628596560507,2
"124","2021-02","FJI",2021-02-28,"Fiji",59,2,65.345,2.215,30607,33.899,0,0,0,0,902899,49.562,"Oceania",NA,0,0,1.16782735768958,2.215,0,1
"125","2021-08","FJI",2021-08-31,"Fiji",46716,496,51740.006,549.342,NA,NA,825552,0,91.43,0,902899,49.562,"Oceania",NA,0,91.43,6.31053990315952,549.342,4.52645160127669,2
"126","2021-02","FLK",2021-02-28,"Falkland Islands",0,0,0,0,0,0,0,0,0,0,3528,NA,"South America",NA,NA,0,0,0,0,1
"127","2021-04","FLK",2021-04-14,"Falkland Islands",0,0,0,0,0,0,4407,0,124.91,0,3528,NA,"South America",NA,0,124.91,0,0,4.83556736601361,2
"128","2021-02","FRA",2021-02-28,"France",3815688,86579,56474.954,1281.432,0,0,4726254,6,7,0,67564251,122.578,"Europe",NA,2.54,7,7.15651355419674,1281.432,2.07944154167984,1
"129","2021-10","FRA",2021-10-31,"France",7268527,118625,107579.48,1755.736,0,0,99301745,3061058,146.97,4.53,67564251,122.578,"Europe",NA,140.78,146.97,7.47121282077913,1755.736,4.99700955051444,2
"130","2021-02","FRO",2021-02-28,"Faeroe Islands",0,0,0,0,0,0,0,0,0,0,49053,35.308,"Europe",NA,0,0,0,0,0,1
"131","2021-11","FRO",2021-11-05,"Faeroe Islands",0,0,0,0,0,0,78347,0,159.72,0,49053,35.308,"Europe",NA,158.1,159.72,0,0,5.07966372050668,2
"132","2021-02","FSM",2021-02-28,"Micronesia (country)",1,0,8.602,0,0,0,0,0,0,0,116255,150.777,"Oceania",NA,0,0,0,0,0,1
"133","2021-11","FSM",2021-11-27,"Micronesia (country)",1,0,8.602,0,0,0,0,0,0,0,116255,150.777,"Oceania",NA,0,0,0,0,0,2
"134","2021-02","GAB",2021-02-28,"Gabon",14564,83,6391.002,36.422,0,0,0,0,0,0,2278829,7.859,"Africa",549,0,0,3.62225876677204,36.422,0,1
"135","2021-09","GAB",2021-09-30,"Gabon",30155,186,13232.673,81.621,NA,NA,180320,0,7.91,0,2278829,7.859,"Africa",1633,NA,7.91,4.41426388550224,81.621,2.18717424148272,2
"136","2021-02","GBR",2021-02-28,"United Kingdom",4188827,123083,61413.345,1804.548,77738395,1139.74,21091267,0,30.92,0,68207114,272.898,"Europe",NA,14.35,30.92,7.49861942579752,1804.548,3.46323277258161,1
"137","2021-10","GBR",2021-10-31,"United Kingdom",9100442,141055,133423.648,2068.039,301910735,4426.382,103814905,8115229,152.21,11.9,68207114,272.898,"Europe",NA,138.74,152.21,7.63483952725373,2068.039,5.03180952932766,2
