"","year","id","go","m","l","k","sic3dig","countyear","va"
"752",84,68274,5938.8681640625,3439.36254882812,21,3109.04711914062,311,8,2499.50561523438
"753",84,68589,25278.361328125,14049.267578125,30,5303.99609375,311,8,11229.09375
"754",86,68589,22776.494140625,12683.0595703125,32,4439.1201171875,311,8,10093.4345703125
"755",85,68589,21924.0390625,15592.85546875,32,4847.42529296875,311,8,6331.18359375
"756",81,68589,28731.671875,13035.68359375,36,6940.48388671875,311,8,15695.98828125
"757",80,68589,33556,17529,38,7665.79052734375,311,8,16027
"758",83,68589,21633.91796875,12581.0859375,30,5815.63623046875,311,8,9052.83203125
"759",79,68589,32514.6796875,17720.759765625,41,8487.212890625,311,8,14793.919921875
"760",82,68589,26624,14015.830078125,28,6390.30224609375,311,8,12608.169921875
"761",81,69336,23571.97265625,8868.9970703125,28,2436.81665039062,321,8,14702.9755859375
"762",79,69336,16435.640625,8753.517578125,33,2136.87890625,321,8,7682.123046875
"763",83,69336,13781.0927734375,3880.845703125,20,1934.54406738281,321,8,9900.2470703125
"764",80,69336,17439.08984375,7363,27,2159.42700195312,321,8,10076.08984375
"765",84,69336,14347.0849609375,5541.7607421875,20,1714.68359375,321,8,8805.32421875
"766",86,69336,13055.0078125,7527.53125,21,1352.02209472656,321,8,5527.4765625
"767",82,69336,14581.3935546875,5067.33203125,23,2245.02197265625,321,8,9514.0615234375
"768",85,69336,12524.9951171875,8309.125,20,1547.67602539062,321,8,4215.8701171875
"769",82,70209,49225.484375,33994.9375,45,16544.533203125,352,8,15230.546875
"770",81,70209,31007.0546875,19186.9296875,43,17844.869140625,352,8,11820.125
"771",84,70209,49203.796875,30677.9296875,38,14429.43359375,352,8,18525.8671875
"772",80,70209,22028.11328125,7287,42,19273.9140625,352,8,14741.11328125
"773",85,70209,55201.19140625,34118.09765625,37,67102.1953125,352,8,21083.09375
"774",79,70209,12994.806640625,2526.62084960938,17,20158.1484375,352,8,10468.185546875
"775",83,70209,53450.48046875,31779.751953125,48,15358.5859375,352,8,21670.728515625
"776",86,70209,227201.515625,58058.6328125,54,62853.1875,352,8,169142.875
"777",83,70245,13781.888671875,9186.0771484375,13,1414.17211914062,322,8,4595.8115234375
"778",82,70245,19037.865234375,12227.111328125,11,1028.92663574219,322,8,6810.75390625
"779",85,70245,13900.8017578125,9231.0654296875,20,1011.41278076172,322,8,4669.736328125
"780",80,70245,15605.87109375,12606,24,1218.79626464844,322,8,2999.87109375
"781",79,70245,11370.6484375,8402.2490234375,22,1328.107421875,322,8,2968.3994140625
"782",84,70245,47160.3046875,25204.228515625,20,1186.61352539062,322,8,21956.076171875
"783",81,70245,14915.7509765625,6982.015625,24,1119.39465332031,322,8,7933.7353515625
"784",86,70245,14713.818359375,6769.27880859375,25,618.323608398438,322,8,7944.53955078125
"785",82,71442,7605.29052734375,2796.3154296875,19,6628.9296875,321,8,4808.97509765625
"786",86,71442,23000.390625,14805.662109375,34,8048.3056640625,321,8,8194.728515625
"787",83,71442,16529.1484375,7545.0830078125,28,6212.6416015625,321,8,8984.0654296875
"788",81,71442,8029.646484375,3080.65405273438,17,4448.53564453125,321,8,4948.9921875
"789",79,71442,10233.4677734375,5567.23193359375,34,5164.68310546875,321,8,4666.23583984375
"790",84,71442,14594.0478515625,8116.126953125,31,5605.83349609375,321,8,6477.9208984375
"791",80,71442,4836.65478515625,855,16,4713.248046875,321,8,3981.65478515625
"792",85,71442,15707.8447265625,10314.3740234375,43,6132.234375,321,8,5393.470703125
"793",83,72072,7492.28125,984.389526367188,23,4591.087890625,332,8,6507.8916015625
