"","year","sic4dig","id","go","m","l","k","sic3dig","sic2dig","minyear","maxyear","countyear","va","lnvaOl","lnk"
"1612",84,3419,12276,109382.2265625,42309.90234375,42,45715.40625,341,34,79,86,8,67072.328125,7.37585735321045,10.7301902770996
"1613",86,3419,12276,86706.7109375,44427.046875,53,40967.69921875,341,34,79,86,8,42279.6640625,6.68176937103271,10.6205396652222
"1614",80,3419,12276,121949.8828125,31814,55,80615.125,341,34,79,86,8,90135.8828125,7.40174055099487,11.2974414825439
"1615",83,3419,12276,103282.828125,25836.765625,45,65612.28125,341,34,79,86,8,77446.0625,7.45067453384399,11.0915184020996
"1616",81,3419,12276,139397.21875,47264.7890625,54,74172.6171875,341,34,79,86,8,92132.4296875,7.44199800491333,11.214150428772
"1617",82,3212,12312,33488.68359375,7389.38232421875,43,9319.009765625,321,32,79,86,8,26099.30078125,6.40846347808838,9.13981151580811
"1618",84,3212,12312,50178.9765625,28416.67578125,41,14831.5234375,321,32,79,86,8,21762.30078125,6.27436256408691,9.60451030731201
"1619",79,3211,12312,35356.078125,18359.58984375,58,11884.802734375,321,32,79,86,8,16996.48828125,5.68031883239746,9.38301563262939
"1620",80,3212,12312,37946.93359375,10684,52,10944.37109375,321,32,79,86,8,27262.93359375,6.26203966140747,9.30058097839355
"1621",83,3212,12312,28510.591796875,11055.75,48,8615.5263671875,321,32,79,86,8,17454.841796875,5.89617156982422,9.06132125854492
"1622",85,3212,12312,46976.3359375,38984.3359375,47,16531.23046875,321,32,79,86,8,7992,5.13604879379272,9.7130069732666
"1623",81,3212,12312,44838.2265625,30534.203125,50,10092.4189453125,321,32,79,86,8,14304.0234375,5.65627336502075,9.21953964233398
"1624",86,3212,12312,59545.0625,37268.9765625,50,17080.365234375,321,32,79,86,8,22276.0859375,6.09924602508545,9.74568462371826
"1625",85,3117,12357,7670.1044921875,6548.31201171875,14,4643.767578125,311,31,79,86,8,1121.79248046875,4.38362598419189,8.44328117370605
"1626",79,3117,12357,11869.6923828125,7664.7021484375,22,6911.26904296875,311,31,79,86,8,4204.990234375,5.25298500061035,8.84090900421143
"1627",83,3117,12357,9895.291015625,6218.8076171875,18,5492.22509765625,311,31,79,86,8,3676.4833984375,5.31934022903442,8.61108875274658
"1628",84,3117,12357,8375.5283203125,6084.5703125,15,5042.21923828125,311,31,79,86,8,2290.9580078125,5.0286750793457,8.52560138702393
"1629",80,3117,12357,10087,6454,26,7099.94921875,311,31,79,86,8,3633,4.93971729278564,8.86784267425537
"1630",86,3117,12357,10852.6572265625,8526.6591796875,17,4289.9677734375,311,31,79,86,8,2325.998046875,4.91869115829468,8.36403465270996
"1631",82,3117,12357,11847.529296875,6894.73046875,17,5933.146484375,311,31,79,86,8,4952.798828125,5.67449474334717,8.68830966949463
"1632",81,3117,12357,5619.49462890625,3751.83642578125,26,6458.1181640625,311,31,79,86,8,1867.658203125,4.27434396743774,8.77309322357178
"1633",79,3117,12393,8698.7080078125,4899.65625,15,5538.216796875,311,31,79,86,8,3799.0517578125,5.53445672988892,8.61942768096924
"1634",82,3117,12393,9178.587890625,5831.369140625,12,4481.96435546875,311,31,79,86,8,3347.21875,5.63097858428955,8.40781688690186
"1635",84,3117,12393,5996.75341796875,3414.05712890625,12,3629.99780273438,311,31,79,86,8,2582.6962890625,5.37168264389038,8.19698715209961
"1636",86,3117,12393,5307.970703125,3300.337890625,11,2895.20239257812,311,31,79,86,8,2007.6328125,5.20681619644165,7.9708104133606
"1637",80,3117,12393,7803,5062,15,5250.48388671875,311,31,79,86,8,2741,5.20802783966064,8.56607532501221
"1638",83,3117,12393,7382.544921875,5087.99658203125,12,3953.095703125,311,31,79,86,8,2294.54833984375,5.25338459014893,8.28225421905518
"1639",85,3117,12393,5820.81689453125,4047.68408203125,12,3250.57153320312,311,31,79,86,8,1773.1328125,4.99559640884399,8.08658599853516
"1640",81,3117,12393,7801.21435546875,5296.25732421875,11,5044.13525390625,311,31,79,86,8,2504.95703125,5.42813158035278,8.52598190307617
"1641",82,3117,12438,10736,8203.4833984375,17,1695.67541503906,311,31,79,86,8,2532.5166015625,5.00375556945801,7.43583631515503
"1642",80,3117,12438,9358,7079,20,1759.39514160156,311,31,79,86,8,2279,4.73575973510742,7.47272539138794
"1643",83,3117,12438,11628.9208984375,7745.46728515625,17,1573.45520019531,311,31,79,86,8,3883.45361328125,5.43126678466797,7.36102914810181
"1644",85,3117,12438,7983.76953125,7029.09423828125,18,1359.56860351562,311,31,79,86,8,954.67529296875,3.97099947929382,7.21492290496826
"1645",84,3117,12438,12050.77734375,8517.1064453125,17,1457.50830078125,311,31,79,86,8,3533.6708984375,5.33687925338745,7.28448343276978
"1646",81,3117,12438,9996.2255859375,7350.67431640625,20,1853.18872070312,311,31,79,86,8,2645.55126953125,4.8849024772644,7.52466297149658
"1647",86,3117,12438,8122.748046875,6305.9912109375,18,1276.76220703125,311,31,79,86,8,1816.7568359375,4.61443662643433,7.1520824432373
"1648",79,3117,12438,11888.5029296875,8143.2421875,17,1578.09155273438,311,31,79,86,8,3745.2607421875,5.39503335952759,7.36397171020508
"1649",86,3839,12492,8968.1611328125,2493.13647460938,27,4947.38916015625,383,38,79,86,8,6475.0244140625,5.47987079620361,8.50661563873291
"1650",80,3839,12492,3313,620,15,3797.58129882812,383,38,79,86,8,2693,5.19036102294922,8.24211978912354
"1651",83,3839,12492,4015.14575195312,1104.05358886719,19,3365.81787109375,383,38,79,86,8,2911.09228515625,5.03184461593628,8.12142658233643
"1652",85,3839,12492,9315.9287109375,3869.61376953125,23,4835.26171875,383,38,79,86,8,5446.31494140625,5.46720027923584,8.48369026184082
"1653",79,3839,12492,5245.2607421875,812.313659667969,12,4031.71899414062,383,38,79,86,8,4432.947265625,5.91191339492798,8.30194854736328
"1654",84,3839,12492,7240.03564453125,2947.80004882812,18,3406.64282226562,383,38,79,86,8,4292.2353515625,5.47419118881226,8.13348293304443
